,protein V1,protein V2,protein V3,protein V4,protein V5,protein V6
Slc22a18,89614.09502999196,228258.46215450627,274514.47140491783,568209.6467468876,323362.1054299784,442293.0002825685
Slc25a1,237312.41682691625,437130.0139500842,470941.5029177366,587622.9856720894,566671.9917382587,503959.97010865825
Slc25a10,298383.01787613647,925764.6877625802,911861.5131346117,1203216.5567059845,1139155.5179356372,1040040.8861713683
Slc25a11,328365.702004624,808477.6420179179,940320.7949202853,1151789.7398218466,1148064.1323346002,892594.1336347095
Slc25a12,16653.453804316945,25045.62038766736,19704.70382585707,38073.62199478158,24851.23237874244,23240.396793437838
Slc25a13,24207.057552342972,74774.9254746816,73016.01914008711,136697.26196192644,86792.99443115373,91748.4922006131
Slc25a15,299735.54203310877,1025243.2822591773,1318718.2365501483,1380890.4492135418,1314628.7961035518,1244700.1716692548
Slc25a20,308242.1077300598,472447.26941316185,852015.451630068,844413.9518835077,936359.8887341474,795057.000971494
Slc25a22,107579.15057187188,440529.71729472897,667310.5270149515,712259.7138759203,736909.1142192058,1120190.3104568243
Slc25a24,444626.6391234847,720414.3964841772,873612.9666964478,1212594.599630475,919041.3839068277,925279.29981141
Slc25a25,69600.46681384249,212222.47833537907,303105.40343677864,97272.46144502437,294829.9029952637,292528.9936157901
Slc25a3,3804590.4887371054,7658825.918749547,10125683.43513001,10990355.684733441,9396415.655344587,9614867.98788713
Slc25a45,99846.51376759965,700643.8703475939,1032378.0879466499,1138281.056355605,1000438.081267062,931715.9851661689
Slc25a5,8207930.677691164,13598195.757924175,21576304.77111402,19247073.790286876,20490489.939567257,19757763.723057974
Slc26a2,9481.973095403078,10891.615283916812,12131.827803407146,13363.575727406476,17375.729669739616,18196.149657794318
Slc26a6,46486.81917404975,520341.1185370266,968060.5829106999,1015502.511490244,1195122.2870679582,1139711.2615562226
Slc27a2,145172.0634473398,295546.2940151118,332052.2541214821,345081.4126202928,375699.6498054578,318384.30907209043
Slc27a4,284948.05661952053,1083512.6989999006,1607552.186575544,2007558.4994094553,1928122.7356383007,2149597.396280795
Slc28a2,15453.595506094867,98558.87915371123,41431.96878143817,150687.28454779877,113844.8329458096,416280.5928696008
Slc2a2,43897.35169855591,202404.03576897664,219772.62633594923,428307.0295688514,333941.1585123049,347787.272038093
Slc30a5,10890.2600915571,15285.0130977167,43489.966454707406,42292.04932934382,34768.311897918946,40022.7960494268
Slc30a7,118027.9302080749,36104.041855374635,118808.33729581331,76291.53539914763,83374.8843118635,71770.39969083983
Slc33a1,77770.72826198302,153861.20192076953,143880.73346345543,137825.2027284176,189892.18886674216,157675.87617524635
Slc34a2,39406.24960633976,464541.9469922079,796435.3270075266,1319104.8618566133,1270415.816213313,1548128.1253247915
Slc35a1,0.0,9731.067344644707,8804.607037078407,4436.017348497177,9484.308385659015,6568.770374401054
Slc35f2,4910.349281069291,4877.6977756205015,82757.11119146057,63484.32578400536,74560.26573846607,46877.07359865427
Slc35g1,16040.386156828694,0.0,26885.59753264683,100643.5414642524,132711.99241270398,114601.76647555426
Slc38a10,7465.3886964922,4664.877582088789,9128.503190954145,10974.058044929598,10790.159319080189,9564.80089023601
Slc39a11,66408.99043522081,113549.48573324026,61622.090090857426,86295.37263961835,48607.283865656056,91022.13292095103
Slc39a14,4685.467504057946,15203.604886987974,14382.461398775113,15814.016625750963,15133.687784413372,14316.77802052352
Slc39a4,0.0,20173.035027173384,33078.738606559265,63694.49795657359,85863.68860418988,80445.79720829109
Slc39a5,0.0,0.0,0.0,0.0,0.0,19979.5166695115
Slc3a1,31951.895907012033,336891.74848002044,510104.29043189157,693297.5124604385,720738.2223902735,758051.8653092474
Slc3a2,996826.2850079753,2300621.6357611124,3581491.3327832944,3790951.246611918,3914465.768397745,3731532.9421999017
