gene,V1,V2,V3,V4,V5,V6
Ogdh,353.82331974741356,339.54983987039725,340.0558753992652,234.60585634516613,164.7399874840938,79.70059579670279
Ogfr,25.813958152778227,16.69917245264249,13.752259666882049,17.166282171597523,13.016492838249386,11.217120889906317
Ogt,175.87910154759564,106.77349659113833,101.26663936522236,62.39807329041004,44.74419413148226,21.843866996133354
Ola1,71.93489671907533,11.132781635094993,6.251027121310022,3.542248702075679,3.6608886107576404,0.5903747836792798
Olfm4,1.0325583261111293,0.5060355288679541,0.0,0.27248066939043686,0.8135308023905866,0.0
Opa1,38.893030283519195,15.181065866038624,8.75143796983403,11.716668783788785,6.101481017929399,2.361499134717119
Opa3,35.4511691964821,20.241421154718164,8.75143796983403,12.806591461350532,11.389431233468214,10.036371322547756
Optn,44.05582191407485,59.20615687755063,86.2641742740783,59.94574726589612,61.828340981684576,59.62785315160727
Ormdl2,83.98141052370516,40.98887783830428,21.253492212454073,20.981011543063637,13.016492838249386,8.265246971509917
Ormdl3,33.04186643555614,65.78461875283405,77.51273630424427,79.56435546200757,74.03130301754338,85.60434363349557
Os9,69.18140784944565,57.18201476207882,57.50944951605221,33.787603004414166,25.219454874108184,23.02461656349191
Osbp,31.66512200074129,21.253492212454073,21.253492212454073,13.07907213074097,7.728542622710572,14.759369591981995
Osbpl3,14.800002674259519,15.68710139490658,18.753081363930065,17.43876284098796,12.609727437054092,4.132623485754959
Osbpl6,28.223260913704195,40.98887783830428,36.25595730359813,27.52054760843412,19.931504658569374,10.036371322547756
Ostc,176.2232876562994,73.37515168585337,58.759654940314206,31.335276979900236,21.151800862155252,15.349744375661277
Ostf1,124.93955745944662,78.94154250340085,62.51027121310023,37.32985170648985,32.541232095623464,16.530493943019835
Otc,128.38141854648373,88.05018202302404,52.50862781900419,24.795740914529755,7.321777221515281,2.9518739183963993
Otub1,36.82791363129694,24.795740914529755,25.00410848524009,16.076359494035774,9.355604227491746,5.313373053113518
Oxa1l,47.153496892408235,21.253492212454073,8.75143796983403,7.084497404151358,3.6608886107576404,1.1807495673585595
Oxct1,71.93489671907533,45.03716206924793,23.753903060978086,18.528685518549707,4.88118481434352,3.542248702075679
Oxnad1,16.86511932648178,16.19313692377453,10.001643394096035,8.991862089884416,1.22029620358588,0.0
Oxsm,7.916280500185323,5.060355288679541,1.2502054242620044,1.6348840163426213,2.0338270059764665,0.0
P4hb,1057.3397259377964,1073.3013567289306,868.8927698620931,678.7493474515782,479.9831734104461,272.7531500598273
Pa2g4,48.186055218519364,18.723314568114304,7.501232545572027,4.904652049027863,3.6608886107576404,2.361499134717119
Pabpc1,334.2047115513021,92.09846625396764,67.51109291014824,48.50155915149776,27.660047281279944,26.566865265567593
Pacsin2,48.186055218519364,31.37420278981316,31.255135606550116,20.163569534892325,9.355604227491746,11.807495673585597
Paf1,14.800002674259519,10.120710577359082,8.75143796983403,5.1771327184183,4.474419413148226,2.9518739183963993
Pafah1b1,135.26514072055792,127.0149177458565,103.76705021374637,103.27017369897557,80.94631483786337,100.95408800915686
Pafah1b2,23.748841500555972,16.19313692377453,10.001643394096035,9.264342759274854,6.915011820319986,8.855621755189198
Pafah1b3,55.75814961000097,37.95266466509656,23.753903060978086,14.168994808302717,6.508246419124693,7.674872187830639
Pafah2,39.237216392222905,21.759527741322028,10.001643394096035,9.53682342866529,4.474419413148226,1.7711243510378396
Pag1,17.553491543889194,8.602603990755222,12.502054242620044,5.722094057199174,4.88118481434352,2.361499134717119
Paip1,25.813958152778227,15.68710139490658,18.753081363930065,10.3542654368366,6.508246419124693,2.9518739183963993
Pak1,72.62326893648275,48.579410771323595,40.00657357638414,35.42248702075679,22.37209706574113,16.530493943019835
Pak2,45.08838024018597,37.44662913622861,27.504519333764097,29.155431624776746,23.999158670522302,30.699488751322555
Palld,14.455816565555809,10.626746106227037,6.251027121310022,5.722094057199174,6.101481017929399,10.036371322547756
Pam16,85.35815495852,46.04923312698382,41.25677900064615,30.790315641119363,17.490912251397614,14.168994808302717
Papss2,464.6512467500081,571.3141120919203,345.0566970963132,204.9054633816085,99.65752329284686,66.12197577207934
Park7,187.5814292435218,58.70012134868268,33.75554645507412,23.978298906358443,9.76236962868704,4.722998269434238
Parp12,17.209305435185485,24.289705385661797,37.50616272786013,28.882950955386306,25.62622027530348,15.940119159340556
Parp14,46.1209385662971,48.07337524245565,61.26006578883822,58.855824588334364,52.87950215538813,28.92836440028471
Parp4,17.553491543889194,21.253492212454073,11.25184881835804,25.613182922701064,21.96533166454584,28.337989616605434
Parp9,39.237216392222905,32.892309376417025,23.753903060978086,22.888376228796695,14.643554443030562,7.674872187830639
Pars2,2.0651166522222586,1.0120710577359082,0.0,1.0899226775617474,0.4067654011952933,0.0
Pawr,3.0976749783333872,1.5181065866038623,2.500410848524009,1.0899226775617474,2.44059240717176,1.7711243510378396
Pbld2,66.42791897981598,73.37515168585337,66.26088748588623,27.52054760843412,11.389431233468214,4.722998269434238
Pcbd1,108.41862424166855,48.07337524245565,27.504519333764097,17.166282171597523,4.474419413148226,1.1807495673585595
Pcbp1,212.7070151788926,121.95456245717695,92.51520139538832,76.29458742932232,42.71036712550579,17.711243510378395
Pcbp2,310.1116839420425,163.95551135321713,117.51930988062841,86.37637219676847,53.69303295777871,40.73586007387031
Pcca,14.455816565555809,7.084497404151358,6.251027121310022,2.179845355123495,0.4067654011952933,0.5903747836792798
Pccb,160.39072665592875,62.74840557962632,37.50616272786013,15.258917485864464,2.0338270059764665,2.9518739183963993
Pck1,13.767444348148388,78.4355069745329,92.51520139538832,74.6597034129797,34.16829370040464,14.759369591981995
Pck2,3.441861087037097,1.0120710577359082,1.2502054242620044,0.0,0.8135308023905866,0.0
Pcmt1,42.67907747926,32.38627384754906,30.004930182288106,14.168994808302717,10.169135029882334,8.265246971509917
Pcna,30.976749783333872,19.735385625850213,16.252670515406056,13.896514138912279,11.796196634663506,4.132623485754959
Pcnp,73.65582726259387,37.44662913622861,38.756368152122135,24.523260245139312,21.151800862155252,13.578620024623437
Pcnt,6.539536065370485,7.590532933019312,6.251027121310022,3.542248702075679,2.0338270059764665,1.7711243510378396
Pcsk5,79.85117721926066,38.96473572283247,57.50944951605221,26.703105600262813,14.643554443030562,9.445996538868476
Pcyt1a,89.14420215426082,136.62959279434762,171.2781431238946,143.3248320993698,115.92813934065857,88.55621755189199
Pcyt2,154.19537669926194,159.40119159340557,155.02547260848854,155.8589428913299,167.18057989126555,169.43756291595332
Pdap1,103.94420482852033,67.3027253394379,70.01150375867223,38.41977438405159,22.778862466936427,10.626746106227037
Pdcd10,78.81861889314952,72.8691161569854,67.51109291014824,50.40892383723082,33.35476289801405,34.83211223707751
Pdcd4,75.37675780611244,9.108639519623175,13.752259666882049,5.4496133878087365,5.287950215538813,4.132623485754959
Pdcd5,76.40931613222357,52.62769500226724,43.75718984917015,25.613182922701064,15.050319844225852,10.626746106227037
Pdcd6,213.39538739630004,199.8840339028419,163.77691057832257,146.04963879327414,94.77633847850333,80.29097058038205
Pdcd6ip,93.27443545870534,64.77254769509813,78.76294172850628,55.31357588625868,55.32009456255989,57.266354016890155
Pdcl3,44.40000802277856,34.916451491888836,31.255135606550116,17.166282171597523,12.202962035858798,5.903747836792799
Pde12,17.209305435185485,13.15692375056681,10.001643394096035,7.356978073541796,6.101481017929399,1.1807495673585595
Pdha1,167.96282104741033,88.05018202302404,76.26253087998226,38.96473572283247,15.050319844225852,3.542248702075679
Pdhb,34.07442476166726,17.205207981510444,21.253492212454073,11.989149453179222,3.2541232095623465,2.9518739183963993
Pdhx,15.144188782963226,9.108639519623175,7.501232545572027,3.814729371466116,0.8135308023905866,0.5903747836792798
Pdia3,174.84654322148452,88.55621755189199,41.25677900064615,23.978298906358443,18.711208454983492,12.397870457264878
Pdk2,23.748841500555972,29.85609620320929,27.504519333764097,22.61589555940626,16.270616047811732,4.132623485754959
Pdk3,22.716283174444843,25.807811972265657,22.50369763671608,5.722094057199174,2.8473578083670534,0.5903747836792798
Pdlim1,135.95351293796534,57.688050290946784,45.00739527343216,36.784890367708975,54.09979835897401,98.00221409076045
Pdlim2,27.534888696296775,49.59148182905951,60.00986036457621,64.3054379761431,64.26893338885634,126.3402037073659
Pdlim5,42.33489137055629,38.45870019396452,47.50780612195617,33.787603004414166,20.338270059764668,20.663117428774797
Pds5a,47.153496892408235,23.277634327925895,12.502054242620044,16.62132083281665,10.575900431077626,3.542248702075679
Pds5b,7.572094391481613,3.542248702075679,2.500410848524009,0.8174420081713106,1.6270616047811732,0.5903747836792798
Pdxdc1,66.42791897981598,43.519055482644056,30.004930182288106,27.24806693904369,20.338270059764668,15.349744375661277
Pdxk,48.874427435926776,49.08544630019155,35.00575187933612,22.070934220625386,4.474419413148226,2.361499134717119
Pdzd11,42.33489137055629,32.38627384754906,23.753903060978086,19.891088865501892,13.423258239444678,7.674872187830639
Pdzd3,33.73023865296356,25.807811972265657,22.50369763671608,22.61589555940626,17.08414685020232,9.445996538868476
Pdzd8,42.67907747926,30.36213173207725,25.00410848524009,18.801166187940144,9.355604227491746,5.903747836792799
Pdzk1,55.06977739259355,242.897053856618,261.29293367075894,188.01166187940143,87.04779585579277,21.253492212454073
Pebp1,279.82330637611597,86.0260399075522,50.00821697048018,36.512409698318535,10.169135029882334,4.132623485754959
Pepd,158.3256100037065,306.65753049398023,278.795809610427,216.34965149600686,136.67317480161856,81.47172014774063
Pex1,16.176747109074356,8.096568461887266,3.7506162727860133,0.8174420081713106,1.22029620358588,0.0
Pex11b,12.390699913333549,9.61467504849113,6.251027121310022,1.0899226775617474,1.22029620358588,0.5903747836792798
Pex11g,21.33953873963,14.168994808302717,16.252670515406056,8.71938142049398,8.54207342510116,10.626746106227037
Pex12,6.539536065370485,3.542248702075679,3.7506162727860133,1.907364685733058,0.8135308023905866,0.0
Pex14,15.144188782963226,12.144852692830899,7.501232545572027,5.1771327184183,4.067654011952933,4.132623485754959
Pex16,64.36280232759371,58.19408581981473,45.00739527343216,40.5996197391751,31.320935892037582,21.843866996133354
Pex19,78.47443278444581,51.10958841566337,36.25595730359813,23.16085689818713,12.202962035858798,1.7711243510378396
Pex26,9.293024935000163,4.554319759811587,3.7506162727860133,3.542248702075679,2.0338270059764665,1.1807495673585595
Pex3,13.423258239444678,10.626746106227037,6.251027121310022,6.812016734760922,3.2541232095623465,0.5903747836792798
Pfas,6.539536065370485,1.5181065866038623,0.0,0.8174420081713106,0.4067654011952933,0.0
Pfdn1,120.8093241550021,57.18201476207882,45.00739527343216,31.335276979900236,20.745035460959958,34.24173745339824
Pfdn2,49.562799653334196,22.265563270189986,10.001643394096035,9.809304098055726,6.508246419124693,4.722998269434238
Pfkfb4,28.567447022407908,29.35006067434134,31.255135606550116,26.430624930872376,30.914170490842288,33.65136266971895
Pfkl,25.813958152778227,19.22935009698226,8.75143796983403,6.267055395980048,7.321777221515281,7.674872187830639
Pfkp,138.70700180759502,103.73728341793061,93.76540681965034,62.94303462919091,50.84567514941166,32.47061310236039
Pfn1,1454.5304953818775,1202.8464521191272,1091.42933538073,776.8423884321355,593.8774857451282,557.3137957932402
Pgam1,329.38610602945016,212.0288865956728,138.7728020930825,82.28916215591192,31.320935892037582,21.843866996133354
Pgam5,9.293024935000163,6.578461875283405,3.7506162727860133,1.907364685733058,0.4067654011952933,0.5903747836792798
Pgd,146.96746841648405,89.06225308075994,72.51191460719626,43.32442643307945,29.287108886061123,27.747614832926153
Pgk1,73.65582726259387,55.66390817547496,32.50534103081211,20.436050204282765,10.575900431077626,31.880238318681112
Pgls,191.3674764392626,61.23029899302246,43.75718984917015,25.8856635920915,15.863850646616438,5.313373053113518
