,V1,V2,V3,V4,V5,V6
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep77.0,9363.636574710466,32633.35180925837,39184.03640200267,28388.39443537905,20255.074965202788,11328.614132677772
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep78.0,10507.022350047966,34722.20310560193,31411.08151758379,27805.623367710414,18873.424047370492,10559.587763969223
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep79.0,10653.863290858591,31422.763005366854,32107.631660378604,28042.76373397629,20831.868244020632,10287.356711732595
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep8.0,10607.195191649898,32500.465983886766,33014.58019990457,28390.95595333222,18985.590684244115,11141.94865743543
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep80.0,10415.872332456685,35485.721813525146,35049.92365700108,29542.791344597135,18491.478626444616,9896.353434192652
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep81.0,9093.498920769985,30265.144294326594,37325.497301123054,27472.35234719043,18017.119239035834,10827.596982610537
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep82.0,10905.490230537998,35043.72223361458,33777.944211671886,29596.313161348167,18589.590228507033,10689.334531009814
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep83.0,9245.438318732207,33035.32468359508,32674.300939067645,28485.295833027514,17856.152367523515,10453.884878813078
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep84.0,10847.675469532931,36972.7084324688,36323.89586956851,28710.79418480012,20167.098132916413,12527.818000344047
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep85.0,9182.258954961728,32712.958096572092,38908.65471434464,29638.111734800943,16761.754021278386,10076.129869240804
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep86.0,9648.725041777034,34543.99320645274,33981.42893391702,25054.90450587764,19524.062686800004,11612.577396075061
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep87.0,9195.517638834914,34790.226442926774,35453.12830678032,28398.892171882057,17811.229072182003,11423.141566757304
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep88.0,9983.894469576424,36058.30298777318,35112.306858621065,28107.206577905738,18931.317741917115,10491.424990484045
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep89.0,9960.798610094718,33898.56744048517,33555.95658009523,29468.2337195723,20375.41048921905,11255.805714254837
