,V1,V2,V3,V4,V5,V6
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep67.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep68.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep69.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep7.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep70.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep71.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep72.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep73.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep74.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep75.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep76.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep77.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep78.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep79.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep8.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep80.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep81.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep82.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep83.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep84.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
