gene,beta_0,delta_0
Dhcr7,333.9253177,0.008733226
Dhfr,193.8690019,0.006886509
Dhodh,122.4247754,0.005325831
Dhrs1,624.8604781,0.023622447
Dhrs11,77.50621655,0.007284668
Dhrs4,233.5549407,0.003738461
Dhrs7b,643.321485,0.054218207
Dhx15,148.0935598,0.010167223
Dhx9,528.8608244,0.013973952
Diaph1,55.25603486,0.010061137
Dirc2,96.91062414,0.073729933
Dixdc1,97.42373222,0.013630333
Dkc1,284.4768967,0.004138829
Dlat,1057.195978,0.009902961
Dld,1743.863859,0.013055553
Dlg1,254.8011213,0.003355866
Dlg3,48.10930231,0.014063772
Dlst,696.8801438,0.011732574
Dmbt1,15.0562012,0.016422544
Dnaja1,60.31690802,0.013095387
Dnaja2,163.4861323,0.012668659
Dnaja3,273.2565082,0.013264718
Dnajb1,97.11880247,0.029603516
Dnajb11,352.9449856,0.006797993
Dnajb12,233.6236407,0.018474299
Dnajb6,16.06117389,0.006715375
Dnajc11,142.8903527,0.015468864
Dnajc19,97.71464937,0.013314934
Dnajc3,79.68095901,0.003266532
Dnajc7,36.8859885,0.008836388
Dnajc9,61.97108538,0.01523914
Dnase1,99.80729521,0.011426704
Dnm1,54.23594777,0.006478352
Dnm1l,42.3086207,0.01717513
Dnm2,212.8053703,0.07876656
Dnpep,207.6845912,0.008732077
Dnttip2,8.559319216,0.000585589
Dock1,45.85117642,0.016375269
Dock8,96.96077736,0.01031286
Dopey2,30.29075701,0.010129822
Dpm3,274.8130688,0.012835688
Dpp3,123.3646033,0.004641272
Dpp4,151.772483,0.011068048
Dpyd,41.57854579,0.00656296
Dqx1,31.02456686,0.011366068
Drg1,149.6769416,0.021367857
Dsc2,170.44916,0.1553003
Dsg2,135.6077668,0.044406644
Dsp,190.9622113,0.024559783
Dstn,114.0817016,0.007300541
Dtx3l,117.935237,0.009663834
Dync1h1,51.12492152,0.006613636
Dync1i2,135.3352908,0.007004743
Dync1li1,128.4458913,0.004158728
Dync1li2,79.8079279,0.017887583
Dynll1,63.80039796,0.015246385
Dynll2,135.0635435,0.007252789
Dynlrb1,21.39340437,0.012667586
Ebp,127.3393361,0.010135311
Ech1,264.8806321,0.015544608
Echdc1,85.22364105,0.006395049
Echs1,957.2259195,0.014679848
Eci1,1118.167972,0.006019962
Eci2,54.5276217,0.00962987
Eci3,119.937114,0.013584634
Ecsit,46.65833412,0.0160737
Edc4,96.86506775,0.02049652
Edf1,3.147048287,0.083568946
Eea1,65.19247536,0.007817333
Eef1a1,52.6998373,0.004436086
Eef1d,308.1688677,0.007618532
Eef1g,33.07202764,0.003694954
Eef2,0.036726419,0.003664229
Eefsec,112.2995506,0.008682486
Efhd2,773.6437643,0.009702503
Efnb1,62.96598627,0.015149565
Eftud1,73.05280236,0.006943089
Eftud2,39.95351408,0.005281208
Ehbp1l1,94.37877048,0.010966822
Ehd1,157.3789669,0.016382371
Ehd4,134.9318299,0.005503653
Ehhadh,903.6128493,0.013440042
Eif1,12.25970624,0.010925829
Eif1a,35.55258225,0.003985216
Eif2a,110.1218261,0.011013839
Eif2ak2,44.02880606,0.007652837
Eif2b4,10.78915306,0.14286717
Eif2b5,96.27916869,0.007967665
Eif2s1,105.3827427,0.002326621
Eif2s2,43.01103744,0.002956845
Eif2s3x,71.39434445,0.007049948
Eif2s3y,95.06944237,0.015468917
Eif3a,29.99758235,0.00372436
Eif3b,92.63485139,0.008182912
Eif3c,80.72087309,0.008349108
Eif3d,59.64718759,0.00616783
Eif3e,24.96968225,0.002923892
Eif3f,12.81074876,0.012139143
Eif3g,123.7854728,0.006734242
Eif3h,68.37697206,0.008865097
Eif3i,94.21193705,0.006441487
Eif3j1,222.0670624,0.045298993
Eif3k,21.17819809,0.005605772
Eif3l,41.41380353,0.004135038
Eif3m,52.06721493,0.022343245
Eif4a1,412.0450667,0.031303473
Eif4a2,27.76539813,0.013397974
Eif4b,89.1793323,0.008927107
Eif4e,29.96410416,0.016370387
Eif4g1,20.0062891,0.004836049
Eif4g2,5.94715532,0.009987742
